wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
wielkopolskie;chodzieski;10;2.13;2;;2;15;1;142;30;11;19;0;t3001
wielkopolskie;czarnkowsko-trzcianecki;50;5.76;1;;1;55;9;610;126;55;71;0;t3002
wielkopolskie;gnieźnieński;103;7.08;1;1;;63;16;674;226;106;115;5;t3003
wielkopolskie;gostyński;14;1.84;1;;1;18;2;190;71;17;52;2;t3004
wielkopolskie;grodziski;19;3.66;;;;11;;257;51;19;31;1;t3005
wielkopolskie;jarociński;10;1.40;2;;2;23;;279;69;10;58;1;t3006
wielkopolskie;kaliski;19;2.29;2;;2;15;2;226;77;19;58;0;t3007
wielkopolskie;kępiński;11;1.95;;;;15;2;248;71;15;56;0;t3008
wielkopolskie;kolski;11;1.27;3;1;2;24;4;245;63;14;49;0;t3009
wielkopolskie;koniński;19;1.46;3;;3;41;15;476;69;21;46;2;t3010
wielkopolskie;kościański;11;1.39;;;;34;6;381;81;13;68;0;t3011
wielkopolskie;krotoszyński;18;2.33;;;;31;5;317;59;18;41;0;t3012
wielkopolskie;leszczyński;26;4.52;;;;14;2;218;65;27;38;0;t3013
wielkopolskie;międzychodzki;20;5.45;;;;18;5;153;131;21;110;0;t3014
wielkopolskie;nowotomyski;24;3.17;;;;51;4;397;73;27;46;0;t3015
wielkopolskie;obornicki;35;5.85;;;;37;5;393;82;37;44;1;t3016
wielkopolskie;ostrowski;38;2.35;8;7;1;62;11;399;182;40;141;1;t3017
wielkopolskie;ostrzeszowski;5;0.90;1;;1;13;1;180;37;7;30;0;t3018
wielkopolskie;pilski;53;3.90;1;1;;53;11;647;229;65;164;0;t3019
wielkopolskie;pleszewski;9;1.43;1;1;;16;4;180;49;10;36;3;t3020
wielkopolskie;poznański;307;7.61;6;5;1;379;68;2874;857;320;524;13;t3021
wielkopolskie;rawicki;13;2.16;;;;24;1;229;36;13;23;0;t3022
wielkopolskie;słupecki;18;3.05;;;;49;6;483;36;18;17;1;t3023
wielkopolskie;szamotulski;59;6.43;1;;1;68;7;802;145;61;83;1;t3024
wielkopolskie;średzki;26;4.40;1;;1;44;2;353;60;27;33;0;t3025
wielkopolskie;śremski;17;2.77;1;1;;22;3;276;84;18;66;0;t3026
wielkopolskie;turecki;7;0.84;1;;1;17;14;250;53;11;40;2;t3027
wielkopolskie;wągrowiecki;21;2.99;;;;13;13;244;85;23;61;1;t3028
wielkopolskie;wolsztyński;18;3.13;;;;18;5;158;67;19;48;0;t3029
wielkopolskie;wrzesiński;58;7.43;3;3;;62;18;624;103;60;42;1;t3030
wielkopolskie;złotowski;66;9.53;;;;39;10;465;120;69;51;0;t3031
wielkopolskie;Kalisz;11;1.10;;;;36;3;267;87;16;71;0;t3061
wielkopolskie;Konin;17;2.32;2;;2;36;10;347;55;18;35;2;t3062
wielkopolskie;Leszno;21;3.32;1;;1;20;6;234;70;23;47;0;t3063
wielkopolskie;Poznań;421;7.89;12;11;1;458;92;3206;1368;440;908;20;t3064
zachodniopomorskie;białogardzki;24;5.06;;;;26;25;360;58;25;29;4;t3201
zachodniopomorskie;choszczeński;17;3.54;2;;2;11;10;399;59;18;38;3;t3202
zachodniopomorskie;drawski;56;9.85;;;;68;11;556;129;58;68;3;t3203
zachodniopomorskie;goleniowski;60;7.28;3;;3;43;47;766;144;60;80;4;t3204
zachodniopomorskie;gryficki;26;4.33;1;;1;32;18;394;74;30;42;2;t3205
zachodniopomorskie;gryfiński;30;3.68;2;;2;66;55;878;132;30;100;2;t3206
zachodniopomorskie;kamieński;22;4.69;2;;2;79;26;403;57;24;31;2;t3207
zachodniopomorskie;kołobrzeski;16;2.02;1;;1;41;18;502;77;21;55;1;t3208
zachodniopomorskie;koszaliński;38;5.72;1;;1;50;21;485;128;43;81;4;t3209
zachodniopomorskie;myśliborski;12;1.83;3;;3;23;19;329;66;14;50;2;t3210
zachodniopomorskie;policki;66;8.13;;;;103;61;857;137;66;69;2;t3211
zachodniopomorskie;pyrzycki;12;3.06;;;;33;13;307;55;15;39;1;t3212
zachodniopomorskie;sławieński;19;3.39;;;;36;35;372;63;24;39;0;t3213
zachodniopomorskie;stargardzki;67;5.58;4;;4;70;25;831;201;68;130;3;t3214
zachodniopomorskie;szczecinecki;57;7.36;2;;2;51;13;414;115;59;56;0;t3215
zachodniopomorskie;świdwiński;31;6.66;2;;2;45;6;297;66;31;34;1;t3216
zachodniopomorskie;wałecki;31;5.86;3;;3;44;5;425;56;31;25;0;t3217
zachodniopomorskie;łobeski;28;7.67;;;;18;16;327;56;28;27;1;t3218
zachodniopomorskie;Koszalin;58;5.43;;;;104;31;765;250;74;167;9;t3261
zachodniopomorskie;Szczecin;297;7.41;4;;4;369;214;3112;862;324;524;14;t3262
zachodniopomorskie;Świnoujście;29;7.10;;;;42;11;323;82;30;51;1;t3263
