county_name;teryt;vacs_total;vacs_daily_mean;vacs_2nd_dose_total;vacs_2nd_dose_daily_mean;total_tests_performed;total_sick_count;total_deaths
bielski;t2402;138447.0;281.4;47953.0;97.47;116134.0;23561.0;348.0
cieszyński;t2403;214028.0;435.02;78503.0;159.56;106992.0;20025.0;473.0
częstochowski;t2404;122814.0;249.62;45301.0;92.08;81042.0;12409.0;392.0
gliwicki;t2405;192204.0;390.66;64051.0;130.18;94840.0;17093.0;269.0
kłobucki;t2406;80548.0;163.72;29678.0;60.32;49315.0;7542.0;186.0
lubliniecki;t2407;76274.0;155.03;27640.0;56.18;61799.0;8668.0;211.0
mikołowski;t2408;60097.0;122.15;21865.0;44.44;81132.0;16574.0;276.0
myszkowski;t2409;77842.0;158.22;29146.0;59.24;44079.0;7265.0;193.0
pszczyński;t2410;98746.0;200.7;34576.0;70.28;73329.0;14109.0;225.0
raciborski;t2411;122818.0;249.63;45793.0;93.08;70709.0;12353.0;394.0
rybnicki;t2412;36206.0;73.59;13690.0;27.83;49167.0;10324.0;194.0
tarnogórski;t2413;193008.0;392.29;73745.0;149.89;113564.0;19531.0;331.0
bieruńsko-lędziński;t2414;53565.0;108.87;19684.0;40.01;39250.0;7857.0;115.0
wodzisławski;t2415;177927.0;361.64;64345.0;130.78;99542.0;18591.0;440.0
zawierciański;t2416;131302.0;266.87;46201.0;93.9;80484.0;12569.0;314.0
żywiecki;t2417;137965.0;280.42;51870.0;105.43;96857.0;16967.0;337.0
Bielsko-Biała;t2461;289965.0;589.36;109012.0;221.57;136588.0;24347.0;352.0
Bytom;t2462;198621.0;403.7;72828.0;148.02;110586.0;20506.0;291.0
Chorzów;t2463;160721.0;326.67;58588.0;119.08;78159.0;13838.0;314.0
Częstochowa;t2464;380785.0;773.95;132807.0;269.93;159878.0;24160.0;682.0
Dąbrowa Górnicza;t2465;134939.0;274.27;48397.0;98.37;98275.0;18188.0;347.0
Gliwice;t2466;359950.0;731.61;137932.0;280.35;169631.0;27384.0;429.0
Jastrzębie-Zdrój;t2467;94016.0;191.09;31732.0;64.5;63210.0;12483.0;261.0
Jaworzno;t2468;129640.0;263.5;46825.0;95.17;62129.0;11935.0;300.0
Katowice;t2469;741238.0;1506.58;289788.0;589.0;275625.0;44185.0;977.0
Mysłowice;t2470;75687.0;153.84;27009.0;54.9;53333.0;10063.0;199.0
Piekary Śląskie;t2471;63286.0;128.63;20685.0;42.04;41290.0;7574.0;175.0
Ruda Śląska;t2472;233279.0;474.14;92605.0;188.22;110433.0;19703.0;335.0
Rybnik;t2473;112935.0;229.54;35856.0;72.88;87050.0;16190.0;384.0
Siemianowice Śląskie;t2474;121661.0;247.28;46010.0;93.52;46657.0;8721.0;185.0
Sosnowiec;t2475;306637.0;623.25;110353.0;224.29;151237.0;29304.0;669.0
Świętochłowice;t2476;55300.0;112.4;21124.0;42.93;37301.0;6439.0;157.0
Tychy;t2477;153240.0;311.46;56795.0;115.44;100276.0;18846.0;442.0
Zabrze;t2478;194775.0;395.88;69428.0;141.11;116415.0;21632.0;437.0
Żory;t2479;87403.0;177.65;33055.0;67.18;42736.0;8796.0;153.0
buski;t2601;73145.0;148.67;27333.0;55.55;48970.0;5492.0;196.0
jędrzejowski;t2602;105958.0;215.36;40350.0;82.01;49642.0;7116.0;213.0
kazimierski;t2603;36738.0;74.67;13571.0;27.58;20709.0;2928.0;96.0
kielecki;t2604;165286.0;335.95;61720.0;125.45;145338.0;19884.0;469.0
konecki;t2605;85069.0;172.9;30936.0;62.88;51875.0;5835.0;255.0
opatowski;t2606;45786.0;93.06;17363.0;35.29;32111.0;3920.0;149.0
ostrowiecki;t2607;129920.0;264.07;46657.0;94.83;64763.0;10329.0;311.0
pińczowski;t2608;43708.0;88.84;15779.0;32.07;24005.0;3299.0;111.0
sandomierski;t2609;103894.0;211.17;40043.0;81.39;55915.0;7767.0;232.0
skarżyski;t2610;76830.0;156.16;27538.0;55.97;50221.0;7975.0;293.0
starachowicki;t2611;92842.0;188.7;33791.0;68.68;55297.0;9005.0;466.0
staszowski;t2612;53854.0;109.46;19662.0;39.96;50699.0;5253.0;160.0
włoszczowski;t2613;60485.0;122.94;22712.0;46.16;26777.0;3612.0;152.0
Kielce;t2661;382298.0;777.03;143671.0;292.01;163461.0;23400.0;522.0
bartoszycki;t2801;67656.0;137.51;26075.0;53.0;39217.0;7739.0;190.0
braniewski;t2802;43556.0;88.53;16622.0;33.78;23425.0;5129.0;136.0
działdowski;t2803;73144.0;148.67;27401.0;55.69;54147.0;8863.0;216.0
elbląski;t2804;53726.0;109.2;20681.0;42.03;31432.0;6374.0;152.0
ełcki;t2805;114007.0;231.72;39256.0;79.79;69813.0;9990.0;244.0
giżycki;t2806;65383.0;132.89;23749.0;48.27;37515.0;8041.0;154.0
iławski;t2807;93095.0;189.22;33752.0;68.6;60946.0;11582.0;242.0
kętrzyński;t2808;62647.0;127.33;23005.0;46.76;38023.0;6938.0;182.0
lidzbarski;t2809;42086.0;85.54;16022.0;32.57;26115.0;4872.0;108.0
mrągowski;t2810;43191.0;87.79;14903.0;30.29;32498.0;6212.0;168.0
nidzicki;t2811;59856.0;121.66;21771.0;44.25;29531.0;4487.0;122.0
nowomiejski;t2812;51531.0;104.74;19151.0;38.92;28284.0;5034.0;110.0
olecki;t2813;36359.0;73.9;13923.0;28.3;20041.0;3201.0;137.0
olsztyński;t2814;122507.0;249.0;46843.0;95.21;113676.0;21474.0;347.0
ostródzki;t2815;91945.0;186.88;35804.0;72.77;90426.0;15435.0;297.0
piski;t2816;66980.0;136.14;26204.0;53.26;38093.0;6380.0;140.0
szczycieński;t2817;76661.0;155.82;28895.0;58.73;53346.0;10697.0;248.0
gołdapski;t2818;26410.0;53.68;9737.0;19.79;15008.0;2487.0;77.0
węgorzewski;t2819;27968.0;56.85;10877.0;22.11;18635.0;3341.0;87.0
Elbląg;t2861;183636.0;373.24;67838.0;137.88;78938.0;17123.0;412.0
Olsztyn;t2862;300785.0;611.35;111413.0;226.45;183307.0;36597.0;461.0
chodzieski;t3001;59178.0;120.28;21453.0;43.6;29251.0;5245.0;118.0
czarnkowsko-trzcianecki;t3002;101821.0;206.95;38680.0;78.62;49908.0;11080.0;226.0
gnieźnieński;t3003;205797.0;418.29;77763.0;158.05;91060.0;18283.0;418.0
gostyński;t3004;102769.0;208.88;41198.0;83.74;41640.0;5756.0;199.0
grodziski;t3005;50269.0;102.17;19802.0;40.25;29123.0;5682.0;119.0
jarociński;t3006;84567.0;171.88;31852.0;64.74;40036.0;6562.0;146.0
kaliski;t3007;81594.0;165.84;32195.0;65.44;43134.0;5847.0;156.0
kępiński;t3008;59067.0;120.05;22675.0;46.09;32244.0;5262.0;141.0
kolski;t3009;81077.0;164.79;29581.0;60.12;41514.0;6238.0;229.0
koniński;t3010;105012.0;213.44;38069.0;77.38;63009.0;12336.0;257.0
kościański;t3011;95242.0;193.58;35070.0;71.28;53890.0;9411.0;200.0
krotoszyński;t3012;90131.0;183.19;33899.0;68.9;41088.0;8598.0;184.0
leszczyński;t3013;29562.0;60.09;10896.0;22.15;31462.0;5880.0;163.0
